Model,CV_f1_mean,CV_f1_std
LogisticRegression,0.25950899415459666,0.001545620564872729
RandomForest,0.2809202776314237,0.0025330964247481146
GradientBoosting,0.03861867986969392,0.0028405975118611874
XGBoost,0.05431969699794733,0.0036076076858810556
LightGBM,0.28306126257410574,0.001976835904261293
